id_estado,estado,ciudad,superficie_km2,lada,ambito,poblacion,altitud,centro,suroeste,noreste
4,Campeche,Hopelchén,,996,,,,"(19.7463074, -89.8442155)","(19.7063074, -89.8842155)","(19.7863074, -89.8042155)"
4,Campeche,Isla Aguada,,982,,,,"(18.7864797, -91.4914495)","(18.7464797, -91.5314495)","(18.8264797, -91.4514495)"
4,Campeche,Ley Federal de Reforma Agraria,,982,,,,"(19.0615843, -90.807083)","(19.0215843, -90.847083)","(19.1015843, -90.767083)"
4,Campeche,Nuevo Progreso,,938,,,,"(18.6230619, -92.2911929)","(18.5830619, -92.3311929)","(18.6630619, -92.2511929)"
4,Campeche,Palizada,,913,,,,"(18.2549484, -92.0907089)","(18.2149484, -92.1307089)","(18.2949484, -92.0507089)"
4,Campeche,Pomuch,,996,,,,"(20.1369866, -90.1750064)","(20.0969866, -90.2150064)","(20.1769866, -90.1350064)"
4,Campeche,Sabancuy,,982,,,,"(18.9719041, -91.1776935)","(18.9319041, -91.2176935)","(19.0119041, -91.1376935)"
4,Campeche,Seybaplaya,,982,,,,"(19.584593650000002, -90.6451972414055)","(19.4804008, -90.7124587)","(19.6889787, -90.5088107)"
4,Campeche,Sihochac,,982,,,,"(19.5007934, -90.5840157)","(19.4807934, -90.6040157)","(19.5207934, -90.5640157)"
4,Campeche,Tenabo,,996,,,,"(20.0406607, -90.2254956)","(20.0006607, -90.2654956)","(20.0806607, -90.1854956)"
4,Campeche,Xpujil,,983,,,,"(18.5024906, -89.3952284)","(18.4624906, -89.4352284)","(18.5424906, -89.3552284)"
5,Coahuila,Abasolo,,866,,,,"(27.14309625, -101.32738175278348)","(27.0069859, -101.4973834)","(27.2791624, -100.942332)"
5,Coahuila,Allende,,862,,,,"(28.3420816, -100.8517302)","(28.3020816, -100.8917302)","(28.3820816, -100.8117302)"
5,Coahuila,Arteaga,,844,,,,"(25.4504203, -100.8523763)","(25.4104203, -100.8923763)","(25.4904203, -100.8123763)"
5,Coahuila,Candela,,873,,,,"(26.8283217, -100.74996797895923)","(26.5455954, -101.112628)","(27.1113946, -100.5339978)"
5,Coahuila,Castaños,,866,,,,"(26.79433, -101.428704)","(26.75433, -101.468704)","(26.83433, -101.388704)"
5,Coahuila,Ciudad Acuña,,877,,,,"(29.319604, -100.94784)","(29.159604, -101.10784)","(29.479604, -100.78784)"
5,Coahuila,Cuatrocienegas,,869,,,,,,
5,Coahuila,El Coyote,,871,,,,"(27.0245482, -101.6454913)","(27.0045482, -101.6654913)","(27.0445482, -101.6254913)"
5,Coahuila,Entronque Congregación Hgo.,,871,,,,,,
5,Coahuila,Francisco I. Madero,,872,,,,"(26.23755265, -103.09965556876554)","(25.7068295, -103.4159637)","(26.7540991, -102.8796634)"
5,Coahuila,Frontera,,866,,,,"(26.925554, -101.4522926)","(26.885554, -101.4922926)","(26.965554, -101.4122926)"
5,Coahuila,General Cepeda,,842,,,,"(25.5438609, -101.52429344983788)","(25.1766713, -101.8733628)","(25.9114484, -101.1836549)"
5,Coahuila,Guerrero,,862,,,,"(28.3093253, -100.3805564)","(28.2693253, -100.4205564)","(28.3493253, -100.3405564)"
5,Coahuila,Hidalgo,,867,,,,"(27.7876639, -99.8757684)","(27.7476639, -99.9157684)","(27.8276639, -99.8357684)"
5,Coahuila,Jiménez,,878,,,,"(29.0674489, -100.679206)","(29.0274489, -100.719206)","(29.1074489, -100.639206)"
5,Coahuila,Juárez,,861,,,,"(27.608028, -100.726929)","(27.588028, -100.746929)","(27.628028, -100.706929)"
5,Coahuila,La Concordia (Rosita),,872,,,,"(25.779772, -103.1151773)",,
5,Coahuila,La Partida,,871,,,,"(25.5897445, -103.3009092)","(25.5497445, -103.3409092)","(25.6297445, -103.2609092)"
5,Coahuila,La Paz,,871,,,,"(25.5932828, -103.357917)","(25.5732828, -103.377917)","(25.6132828, -103.337917)"
5,Coahuila,Laguna del Rey (Del Rey,,872,,,,"(27.0310889, -103.3671574)","(26.9910889, -103.4071574)","(27.0710889, -103.3271574)"
5,Coahuila,Las Esperanzas,,864,,,,"(27.7417524, -101.3524266)","(27.7017524, -101.3924266)","(27.7817524, -101.3124266)"
5,Coahuila,Lequeitio,,872,,,,"(25.8464827, -103.2786819)","(25.8264827, -103.2986819)","(25.8664827, -103.2586819)"
5,Coahuila,Luchana,,872,,,,"(25.7908916, -103.1924544)","(25.7508916, -103.2324544)","(25.8308916, -103.1524544)"
5,Coahuila,Matamoros,,871,,,,"(25.5292865, -103.2319968)","(25.4892865, -103.2719968)","(25.5692865, -103.1919968)"
5,Coahuila,Minas de Barroterán,,864,,,,"(27.652802, -101.2821301)","(27.612802, -101.3221301)","(27.692802, -101.2421301)"
5,Coahuila,Monclova,,866,,,,"(26.8999988, -101.4171173)","(26.7399988, -101.5771173)","(27.0599988, -101.2571173)"
5,Coahuila,Morelos,,862,,,,"(28.4066289, -100.8869693)","(28.3666289, -100.9269693)","(28.4466289, -100.8469693)"
5,Coahuila,Muzquiz,,864,,,,"(27.8787547, -101.5159425)","(27.8387547, -101.5559425)","(27.9187547, -101.4759425)"
5,Coahuila,Nava,,862,,,,"(28.4217309, -100.7674167)","(28.3817309, -100.8074167)","(28.4617309, -100.7274167)"
5,Coahuila,Nueva Rosita,,861,,,,"(27.9378334, -101.2187489)","(27.8978334, -101.2587489)","(27.9778334, -101.1787489)"
5,Coahuila,Ocampo,,869,,,,"(27.3150222, -102.3967266)","(27.2750222, -102.4367266)","(27.3550222, -102.3567266)"
5,Coahuila,Palau,,864,,,,"(27.8910123, -101.4212607)","(27.8510123, -101.4612607)","(27.9310123, -101.3812607)"
5,Coahuila,Parras de la Fuente,,842,,,,"(25.4436602, -102.1782179)","(25.4036602, -102.2182179)","(25.4836602, -102.1382179)"
5,Coahuila,Piedras Negras,,878,,,,"(28.6974528, -100.5334724)","(28.5374528, -100.6934724)","(28.8574528, -100.3734724)"
5,Coahuila,Primero de Mayo,,866,,,,"(25.4486081, -100.8645341)","(25.4484795, -100.8674117)","(25.4486777, -100.8623443)"
5,Coahuila,Progreso,,861,,,,"(27.4282635, -100.988579)","(27.4082635, -101.008579)","(27.4482635, -100.968579)"
5,Coahuila,Ramos Arizpe,,844,,,,"(25.540787, -100.9466688)","(25.500787, -100.9866688)","(25.580787, -100.9066688)"
5,Coahuila,Sabinas,,861,,,,"(27.8524011, -101.1183777)","(27.6924011, -101.2783777)","(28.0124011, -100.9583777)"
5,Coahuila,Saltillo,,844,,,,"(25.4230425, -100.9927509)","(25.2630425, -101.1527509)","(25.5830425, -100.8327509)"
5,Coahuila,San Buenaventura,,869,,,,"(27.0598015, -101.5466831)","(27.0198015, -101.5866831)","(27.0998015, -101.5066831)"
5,Coahuila,San José de Aura,,861,,,,"(27.588495, -101.3723748)","(27.568495, -101.3923748)","(27.608495, -101.3523748)"
5,Coahuila,San Pedro,,872,,,,,,
5,Coahuila,San Rafael de Arriba,,872,,,,,,
5,Coahuila,Santo Niño Aguanaval,,871,,,,"(25.4316204, -103.2785042)","(25.3916204, -103.3185042)","(25.4716204, -103.2385042)"
5,Coahuila,Torreón,,871,,,,"(25.542698, -103.410512)","(25.382698, -103.570512)","(25.702698, -103.250512)"
5,Coahuila,Viesca,,671,,,,"(25.190017949999998, -102.86086733544606)","(24.7403946, -103.4935503)","(25.6348518, -102.4467634)"
5,Coahuila,Villa Unión,,862,,,,"(28.0963857, -100.79781255580832)","(27.8214386, -101.0330334)","(28.3774648, -100.5381234)"
5,Coahuila,Zaragoza,,862,,,,"(28.4928571, -100.9206326)","(28.4528571, -100.9606326)","(28.5328571, -100.8806326)"
6,Colima,Cabañas Juluapan,,314,,,,,,
6,Colima,Camotlán de Miraflores,,314,,,,"(19.2201898, -104.2349964)","(19.1801898, -104.2749964)","(19.2601898, -104.1949964)"
6,Colima,Cerro de Ortega,,313,,,,"(18.751966, -103.7208589)","(18.711966, -103.7608589)","(18.791966, -103.6808589)"
6,Colima,Chiapa,,312,,,,,,
6,Colima,Ciudad de Armería,,313,,,,"(18.93869, -103.9661162)","(18.89869, -104.0061162)","(18.97869, -103.9261162)"
6,Colima,Ciudad de Villa de Alvarez,,312,,,,,,
